"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","103.00","104.60","104.60","103.00","0.06K","-5.59%"
"06/28/2024","109.10","104.40","104.40","104.40","","0.09%"
"06/27/2024","109.00","109.70","109.70","109.70","0.00K","0.37%"
"06/26/2024","108.60","108.60","108.60","108.60","","-0.28%"
"06/25/2024","108.90","108.90","108.90","108.90","","0.46%"
"06/24/2024","108.40","108.40","108.40","108.40","0.01K","0.37%"
"06/21/2024","108.00","109.75","109.75","109.75","0.01K","-2.48%"
"06/20/2024","110.75","110.75","110.75","110.75","","0.00%"
"06/19/2024","110.75","110.00","110.75","110.00","0.03K","1.37%"
"06/18/2024","109.25","109.25","109.25","109.25","","0.14%"
"06/17/2024","109.10","109.00","109.00","109.00","0.04K","-0.46%"
"06/14/2024","109.60","109.60","109.60","109.60","0.00K","-0.99%"
"06/13/2024","110.70","111.00","111.00","111.00","0.03K","1.10%"
"06/12/2024","109.50","108.95","110.95","108.95","0.02K","0.78%"
"06/11/2024","108.65","109.00","109.00","109.00","0.01K","-0.87%"
"06/10/2024","109.60","108.00","109.25","106.50","0.22K","1.48%"
"06/07/2024","108.00","108.00","108.00","108.00","0.02K","-1.68%"
"06/06/2024","109.85","110.50","111.05","108.15","0.02K","-2.01%"
"06/05/2024","112.10","112.10","112.10","112.10","0.02K","-4.11%"
"06/04/2024","116.90","118.00","118.00","116.30","0.12K","-1.76%"
"06/03/2024","119.00","119.00","121.60","119.00","0.11K","12.80%"
"05/31/2024","105.50","116.50","116.50","116.50","","-0.05%"
"05/30/2024","105.55","105.55","105.55","105.55","","0.29%"
"05/29/2024","105.25","105.25","105.25","105.25","","0.38%"
"05/28/2024","104.85","104.85","104.85","104.85","","0.77%"
"05/27/2024","104.05","104.05","104.05","104.05","0.01K","-1.00%"
"05/24/2024","105.10","105.10","105.10","105.10","0.01K","-0.10%"
"05/23/2024","105.20","105.20","105.20","105.20","","0.14%"
"05/22/2024","105.05","105.50","105.50","103.65","0.01K","-1.64%"
"05/21/2024","106.80","107.25","107.25","106.75","0.02K","0.95%"
"05/20/2024","105.80","106.75","106.75","106.75","0.00K","0.76%"
"05/17/2024","105.00","106.50","106.50","105.00","0.01K","-1.36%"
"05/16/2024","106.45","104.50","106.50","104.50","0.04K","2.36%"
"05/15/2024","104.00","105.00","105.00","104.00","0.01K","-0.95%"
"05/14/2024","105.00","105.00","105.00","105.00","","-0.47%"
"05/13/2024","105.50","105.55","105.55","105.50","0.00K","-1.31%"
"05/10/2024","106.90","108.05","108.05","107.00","0.03K","-0.79%"
"05/09/2024","107.75","107.00","107.50","107.00","0.01K","1.65%"
"05/08/2024","106.00","107.50","107.50","106.00","0.05K","-3.64%"
"05/07/2024","110.00","109.00","110.00","109.00","0.00K","0.59%"
"05/06/2024","109.35","109.00","109.00","109.00","0.01K","1.34%"
"05/03/2024","107.90","108.00","108.00","107.90","0.00K","0.00%"
"05/02/2024","107.90","106.00","108.00","106.00","0.07K","0.75%"
"05/01/2024","107.10","107.10","107.10","107.10","0.03K","4.08%"
"04/30/2024","102.90","102.35","103.00","102.35","0.09K","1.58%"
"04/29/2024","101.30","108.95","108.95","101.00","0.30K","-14.15%"
"04/26/2024","118.00","117.50","117.50","117.50","0.01K","-0.46%"
"04/25/2024","118.55","118.25","118.50","118.25","0.02K","0.30%"
"04/24/2024","118.20","118.20","118.20","118.20","","-0.59%"
"04/23/2024","118.90","118.90","118.90","118.90","0.02K","0.21%"
"04/22/2024","118.65","118.65","118.65","118.65","","-1.12%"
"04/19/2024","120.00","120.00","120.00","120.00","0.02K","-0.29%"
"04/18/2024","120.35","119.10","120.00","119.10","0.01K","0.00%"
"04/17/2024","120.35","120.00","120.00","120.00","0.00K","-0.95%"
"04/16/2024","121.50","121.50","121.50","121.50","0.01K","0.66%"
"04/15/2024","120.70","121.00","121.30","121.00","0.01K","-0.49%"
"04/12/2024","121.30","121.30","121.30","121.30","0.03K","0.46%"
"04/11/2024","120.75","119.50","121.00","119.50","0.02K","1.94%"
"04/10/2024","118.45","118.00","118.30","118.00","0.04K","0.30%"
"04/09/2024","118.10","118.75","118.75","118.00","0.16K","0.08%"
"04/08/2024","118.00","118.00","118.00","118.00","0.07K","0.08%"
"04/05/2024","117.90","117.00","118.50","117.00","0.06K","1.20%"
"04/04/2024","116.50","116.50","116.50","115.75","0.14K","-1.10%"
"04/03/2024","117.80","119.55","121.50","118.25","0.27K","-3.56%"
"04/02/2024","122.15","119.00","121.60","119.00","0.12K","2.17%"
"04/01/2024","119.55","119.55","119.55","119.55","","4.82%"
"03/28/2024","114.05","119.75","119.75","119.75","","0.09%"
"03/27/2024","113.95","113.95","113.95","113.95","","0.31%"
"03/26/2024","113.60","113.60","113.60","113.60","","-0.13%"
"03/25/2024","113.75","113.75","113.75","113.75","","0.31%"
"03/22/2024","113.40","113.25","113.25","113.25","0.00K","0.76%"
"03/21/2024","112.55","113.00","113.00","113.00","0.02K","0.72%"
"03/20/2024","111.75","111.75","111.75","111.75","0.07K","-1.06%"
"03/19/2024","112.95","112.85","112.85","111.75","0.04K","0.71%"
"03/18/2024","112.15","112.15","112.15","112.15","0.02K","-0.18%"
"03/15/2024","112.35","115.50","115.50","115.50","0.01K","0.09%"
"03/14/2024","112.25","109.50","112.90","109.50","0.01K","2.23%"
"03/13/2024","109.80","109.80","109.80","109.80","","0.37%"
"03/12/2024","109.40","109.40","109.40","109.40","","0.69%"
"03/11/2024","108.65","108.65","108.65","108.65","","-2.12%"
"03/08/2024","111.00","111.00","111.00","111.00","","0.45%"
"03/07/2024","110.50","111.70","113.00","111.70","0.02K","-1.87%"
"03/06/2024","112.60","112.35","115.50","112.35","0.32K","-0.13%"
"03/05/2024","112.75","112.85","112.85","111.95","0.07K","1.49%"
"03/04/2024","111.10","111.25","111.25","111.25","0.07K","3.88%"
"03/01/2024","106.95","107.00","107.00","107.00","0.05K","2.44%"
"02/29/2024","104.40","104.25","104.30","101.00","0.06K","-0.10%"
"02/28/2024","104.50","103.00","105.70","103.00","0.17K","4.40%"
"02/27/2024","100.10","98.70","100.50","98.00","0.24K","1.26%"
"02/26/2024","98.85","97.00","99.30","95.95","0.22K","3.45%"
"02/23/2024","95.55","92.95","92.95","92.95","","-0.16%"
"02/22/2024","95.70","95.00","95.75","95.00","0.02K","0.47%"
"02/21/2024","95.25","95.25","95.25","95.25","","0.74%"
"02/20/2024","94.55","94.55","94.55","94.55","0.01K","0.16%"
"02/19/2024","94.40","94.40","94.40","94.40","0.00K","-0.11%"
"02/16/2024","94.50","94.50","94.50","94.50","0.00K","0.05%"
"02/15/2024","94.45","94.45","94.45","94.45","0.02K","0.69%"
"02/14/2024","93.80","93.50","93.50","93.50","0.01K","-0.32%"
"02/13/2024","94.10","94.50","94.50","94.25","0.05K","-0.42%"
"02/12/2024","94.50","94.25","94.25","94.25","0.02K","-1.56%"
"02/09/2024","96.00","95.90","95.90","95.90","0.05K","-1.69%"
"02/08/2024","97.65","98.20","98.20","97.90","0.00K","-0.96%"
"02/07/2024","98.60","99.25","99.25","97.50","0.12K","0.00%"
"02/06/2024","98.60","97.75","97.75","97.75","0.02K","0.46%"
"02/05/2024","98.15","98.00","99.00","98.00","0.02K","-0.25%"
"02/02/2024","98.40","98.20","98.70","98.20","0.01K","1.13%"
"02/01/2024","97.30","98.90","98.90","97.80","0.06K","-2.31%"
"01/31/2024","99.60","97.20","99.75","97.20","0.20K","3.59%"
"01/30/2024","96.15","94.20","95.70","94.20","0.11K","1.96%"
"01/29/2024","94.30","95.00","95.50","94.70","0.16K","-11.04%"
"01/26/2024","106.00","105.75","105.75","105.75","0.00K","0.38%"
"01/25/2024","105.60","105.60","105.60","105.60","0.00K","-0.19%"
"01/24/2024","105.80","105.80","105.80","105.80","","0.28%"
"01/23/2024","105.50","105.50","105.50","105.50","0.03K","0.14%"
"01/22/2024","105.35","104.75","105.50","104.75","0.00K","-0.61%"
"01/19/2024","106.00","104.00","106.00","104.00","0.04K","-0.98%"
"01/18/2024","107.05","107.10","107.10","107.10","0.04K","-0.05%"
"01/17/2024","107.10","107.00","107.15","107.00","0.06K","-0.60%"
"01/16/2024","107.75","107.85","108.00","107.40","0.05K","0.23%"
"01/15/2024","107.50","107.25","107.25","107.25","0.02K","-1.19%"
"01/12/2024","108.80","108.50","108.50","108.50","0.02K","2.16%"
"01/11/2024","106.50","108.00","108.00","106.50","0.03K","-2.29%"
"01/10/2024","109.00","109.00","109.00","109.00","0.11K","-2.02%"
"01/09/2024","111.25","111.65","111.65","111.00","0.07K","-1.72%"
"01/08/2024","113.20","112.55","113.75","112.55","0.09K","-2.41%"
"01/05/2024","116.00","113.65","116.50","112.65","0.10K","3.29%"
"01/04/2024","112.30","109.75","112.00","109.75","0.12K","3.07%"
"01/03/2024","108.95","106.00","109.00","106.00","0.20K","2.64%"
"01/02/2024","106.15","107.50","107.50","104.75","0.14K","-9.74%"